personalization,question,option_1,option_2,option_3,option_4,mcq_answer,function,code,tree_image_path
recipe,"As a chef, you are finalizing your salad recipe which involves a hierarchical arrangement of ingredients. Some ingredients are fundamental and have no further sub-ingredients, represented as leaf nodes in a tree. To ensure you have all necessary base ingredients, you need to count these leaf nodes. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",1,2,3,4,C,Post-order traversal to count leaf nodes,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    if not root.left and not root.right:
        return 1
    return traversal_algorithm(root.left) + traversal_algorithm(root.right)
",images/question_3_recipe.png
music,"As the curator of a diverse music festival, you have a hierarchical representation of music genres where each genre can further branch into sub-genres. Some branches terminate in specific types of music with no further divisions, represented as leaf nodes. To gauge the diversity, you need to count these leaf nodes representing distinct music styles. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",1,2,3,4,C,Post-order traversal to count leaf nodes,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    if not root.left and not root.right:
        return 1
    return traversal_algorithm(root.left) + traversal_algorithm(root.right)
",images/question_3_music.png
normal,What is the output of the code below? Briefly explain what the function does. ,2,3,4,5,B,Find the depth of the tree,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    left_depth = traversal_algorithm(root.left)
    right_depth = traversal_algorithm(root.right)
    return max(left_depth, right_depth) + 1
",images/question_3_normal.png
harry potter,"Professor Dumbledore has discovered an ancient magical artifact and has tasked you with determining how complex it is to navigate through its protections. The protections are layered in a tree structure where each node represents a character helping guard the artifact. Starting from the root character, each branching layer represents additional characters. Your objective is to find out how many layers deep the protection goes, which corresponds to the depth of the tree. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",2,3,4,5,B,Find the depth of the tree,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    left_depth = traversal_algorithm(root.left)
    right_depth = traversal_algorithm(root.right)
    return max(left_depth, right_depth) + 1
",images/question_3_harry_potter.png
recipe,"As a renowned chef, you are developing a sophisticated salad recipe that includes layers of ingredients. Each layer builds upon the previous one starting from a base ingredient. The depth of this recipe tree represents how many layers of ingredients you have from the base ingredient to the most complex, final touches. Your goal is to document the complexity of your new salad masterpiece. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",2,3,4,5,B,Find the depth of the tree,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    left_depth = traversal_algorithm(root.left)
    right_depth = traversal_algorithm(root.right)
    return max(left_depth, right_depth) + 1
",images/question_3_recipe.png
music,"You are organizing a massive music festival and need to ensure a seamless transition between genres, with each major genre branching into its associated sub-genres. The depth of this genre tree represents the range and diversity of music styles from the main genre to the most specific sub-genres. To plan the festival lineup, you need to calculate the depth of this tree. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",2,3,4,5,B,Find the depth of the tree,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    left_depth = traversal_algorithm(root.left)
    right_depth = traversal_algorithm(root.right)
    return max(left_depth, right_depth) + 1
",images/question_3_music.png
normal,What is the output of the code below? Briefly explain what the function does. ,A,B,E,D,C,In-order traversal to find the lexicographically maximum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_max = traversal_algorithm(root.left)
    right_max = traversal_algorithm(root.right)
    current_max = max(root.key, left_max, right_max)
    return current_max
",images/question_3_normal.png
harry potter,"You have come across a collection of magical tomes guarded by Harry Potter characters, organized in a binary search tree. To find the most challenging tome, you need to identify the character that appears last lexicographically (alphabetically). You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",Harry,Hermione,Luna,Ron,D,In-order traversal to find the lexicographically maximum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_max = traversal_algorithm(root.left)
    right_max = traversal_algorithm(root.right)
    current_max = max(root.key, left_max, right_max)
    return current_max
",images/question_3_harry_potter.png
recipe,"You are categorizing salad ingredients in a systematic tree structure, where each node holds a different ingredient. To label the ingredients properly, you need to find the one that appears last alphabetically among all entries.You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",Lettuce,Tomato,Onion,Cucumber,B,In-order traversal to find the lexicographically maximum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_max = traversal_algorithm(root.left)
    right_max = traversal_algorithm(root.right)
    current_max = max(root.key, left_max, right_max)
    return current_max
",images/question_3_recipe.png
music,"You are curating a vast collection of music genres arranged in a hierarchical tree structure. Among all these genres, you want to find the one that comes last alphabetically. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",Rock,Jazz,Funk,Classical,A,In-order traversal to find the lexicographically maximum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_max = traversal_algorithm(root.left)
    right_max = traversal_algorithm(root.right)
    current_max = max(root.key, left_max, right_max)
    return current_max
",images/question_3_music.png
